Target Distance:1,Step Size:100
0 : Mover object mode is invaild
After 1 steps, thr mover has the following location:
(x,y) = (99.875,4.99792)

Target Distance:100,Step Size:1
0 : (x,y) = (0,0)

1 : (x,y) = (0.731689,0.681639)

2 : (x,y) = (-0.186066,0.284491)

3 : (x,y) = (-0.480825,1.24006)

4 : (x,y) = (-0.274702,0.261536)

5 : (x,y) = (-1.0053,0.944339)

6 : (x,y) = (-1.75154,0.278657)

7 : (x,y) = (-2.32636,-0.53962)

8 : (x,y) = (-1.46356,-0.0340866)

9 : (x,y) = (-0.492981,-0.274882)

10 : (x,y) = (-0.247892,-1.24438)

11 : (x,y) = (0.744916,-1.12467)

12 : (x,y) = (0.220194,-1.97594)

13 : (x,y) = (0.841804,-1.19262)

14 : (x,y) = (1.53622,-1.91219)

15 : (x,y) = (0.99726,-1.06986)

16 : (x,y) = (1.57894,-0.256443)

17 : (x,y) = (1.67957,0.738482)

18 : (x,y) = (2.67199,0.615608)

19 : (x,y) = (3.23729,1.44049)

20 : (x,y) = (4.19553,1.72645)

21 : (x,y) = (3.7885,2.63986)

22 : (x,y) = (2.89174,2.19734)

23 : (x,y) = (1.97006,1.80939)

24 : (x,y) = (1.34721,1.02705)

25 : (x,y) = (0.992697,0.0919991)

26 : (x,y) = (0.755768,1.06353)

27 : (x,y) = (0.84644,2.05941)

28 : (x,y) = (0.290741,2.89079)

29 : (x,y) = (-0.0419953,3.83381)

30 : (x,y) = (0.747997,4.44693)

31 : (x,y) = (1.06029,3.49694)

32 : (x,y) = (0.928292,2.50569)

33 : (x,y) = (0.414839,3.36381)

34 : (x,y) = (-0.0373367,4.25574)

35 : (x,y) = (0.961249,4.20258)

36 : (x,y) = (-0.0386835,4.21417)

37 : (x,y) = (0.957269,4.30405)

38 : (x,y) = (1.88593,4.67497)

39 : (x,y) = (1.15316,3.9945)

40 : (x,y) = (0.294634,3.48173)

41 : (x,y) = (0.727447,2.58025)

42 : (x,y) = (1.67245,2.25319)

43 : (x,y) = (0.684973,2.09545)

44 : (x,y) = (-0.267846,1.7919)

45 : (x,y) = (-0.890702,1.00957)

46 : (x,y) = (-0.7702,2.00228)

47 : (x,y) = (-1.54877,1.37473)

48 : (x,y) = (-1.3006,2.34344)

49 : (x,y) = (-0.90418,1.42537)

50 : (x,y) = (-0.0677175,1.9734)

51 : (x,y) = (-0.82504,2.62644)

52 : (x,y) = (-1.14833,3.57274)

53 : (x,y) = (-1.21748,4.57034)

54 : (x,y) = (-1.96159,5.2384)

55 : (x,y) = (-1.94398,4.23855)

56 : (x,y) = (-2.89884,4.53559)

